dataset	location	time_period	horizon_distance	q_10	q_25	q_50	q_75	q_90	split_period	data_type	disease_cases
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-04-01	1.0	0.0	0.0	5.0	21.0	46.200000000000045	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-05-01	1.0	0.0	1.0	12.0	51.0	142.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-05-01	2.0	0.0	1.0	12.0	46.0	109.10000000000002	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	1.0	0.0	2.0	16.0	66.0	146.10000000000002	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	2.0	0.0	2.0	19.0	71.0	183.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-06-01	3.0	0.0	2.0	14.0	54.0	142.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	1.0	0.0	2.0	13.0	55.0	134.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	2.0	0.0	2.0	17.0	68.0	158.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-07-01	3.0	0.0	1.0	12.0	53.0	154.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	1.0	0.0	1.0	13.0	49.25	123.20000000000005	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	2.0	0.0	1.0	11.0	39.0	96.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-08-01	3.0	0.0	1.0	11.0	45.0	101.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	1.0	0.0	1.0	10.0	38.25	86.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	2.0	0.0	1.0	8.0	35.0	83.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-09-01	3.0	0.0	1.0	7.0	31.25	78.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	1.0	0.0	1.0	9.0	34.0	95.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	2.0	0.0	1.0	7.0	29.0	64.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-10-01	3.0	0.0	1.0	6.0	26.0	64.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-11-01	2.0	0.0	0.0	5.0	21.0	50.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-11-01	3.0	0.0	0.0	3.0	14.0	39.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-AT	2010-12-01	3.0	0.0	0.0	5.0	17.25	48.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-04-01	1.0	0.0	0.0	1.0	5.0	11.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-05-01	1.0	0.0	0.0	5.0	20.0	54.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-05-01	2.0	0.0	0.0	4.0	15.0	37.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	1.0	0.0	1.0	10.0	42.25	95.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	2.0	0.0	1.0	11.0	40.0	101.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-06-01	3.0	0.0	1.0	7.0	28.0	65.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-07-01	1.0	0.0	1.0	12.0	50.25	118.20000000000005	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-07-01	2.0	0.0	2.0	13.0	48.0	124.10000000000002	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-07-01	3.0	0.0	2.0	13.0	50.0	123.10000000000002	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-08-01	1.0	0.0	2.0	14.0	54.25	119.10000000000002	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-08-01	2.0	0.0	1.0	7.0	40.0	102.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-08-01	3.0	0.0	1.0	8.0	38.0	94.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-09-01	1.0	0.0	2.0	13.0	51.0	125.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-09-01	2.0	0.0	1.0	9.0	35.0	88.10000000000002	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-09-01	3.0	0.0	1.0	6.0	29.0	66.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-10-01	1.0	0.0	1.0	11.0	38.0	91.10000000000002	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-10-01	2.0	0.0	1.0	9.0	33.0	77.10000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-10-01	3.0	0.0	1.0	6.0	25.0	61.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-11-01	2.0	0.0	0.0	4.0	13.0	35.10000000000002	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-11-01	3.0	0.0	0.0	3.0	13.0	30.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BK	2010-12-01	3.0	0.0	0.0	2.0	8.0	20.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-04-01	1.0	0.0	3.0	20.0	85.0	201.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-05-01	1.0	1.0	10.0	65.0	298.25	842.7000000000006	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-05-01	2.0	1.0	11.0	75.0	285.0	738.3000000000003	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-06-01	1.0	1.0	17.0	133.5	564.0	1542.5	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-06-01	2.0	2.0	20.0	151.5	573.5	1321.7000000000003	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-06-01	3.0	1.0	18.0	126.0	514.75	1237.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-07-01	1.0	2.0	35.75	253.0	907.5	2189.6000000000004	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-07-01	2.0	2.0	30.0	238.5	903.25	2258.7000000000003	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-07-01	3.0	2.0	27.0	224.0	880.75	2147.8	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-08-01	1.0	2.0	38.75	308.0	1320.25	2756.4000000000005	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-08-01	2.0	3.0	34.0	243.5	1012.0	2494.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-08-01	3.0	2.0	35.75	252.0	870.75	2204.2	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-09-01	1.0	2.0	41.0	328.0	1260.75	3195.500000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-09-01	2.0	1.9000000000000057	36.0	227.5	1015.0	2483.4000000000015	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-09-01	3.0	2.0	26.0	201.0	817.75	1957.5	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-10-01	1.0	4.900000000000006	44.0	319.0	1243.0	2923.800000000001	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-10-01	2.0	2.0	30.0	221.0	872.0	2065.7000000000003	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-10-01	3.0	3.0	27.0	183.0	725.5	1705.9	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-11-01	2.0	1.0	15.75	114.0	453.25	1161.2000000000005	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-11-01	3.0	2.0	14.0	98.0	376.0	836.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-BL	2010-12-01	3.0	0.0	9.0	66.0	270.0	630.6000000000001	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-04-01	1.0	1.0	15.0	107.0	471.0	1049.5	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-05-01	1.0	2.9000000000000057	45.0	351.5	1495.25	3560.2000000000007	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-05-01	2.0	2.0	36.75	312.0	1190.5	3014.100000000001	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-06-01	1.0	2.0	45.0	421.5	1646.0	4095.4000000000015	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-06-01	2.0	2.9000000000000057	39.75	358.0	1615.0	4295.900000000001	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-06-01	3.0	4.0	52.0	386.5	1497.25	3485.000000000002	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-07-01	1.0	3.0	45.75	311.0	1415.5	3745.700000000001	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-07-01	2.0	3.0	41.75	373.0	1473.25	3599.2000000000003	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-07-01	3.0	3.0	36.0	357.5	1538.0	3743.6000000000017	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-08-01	1.0	2.0	48.0	316.5	1203.5	2992.7000000000003	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-08-01	2.0	3.0	30.0	254.5	1052.25	2780.4000000000005	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-08-01	3.0	2.0	31.75	264.5	1025.0	2682.000000000001	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-09-01	1.0	3.0	28.75	246.0	934.25	2166.3000000000006	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-09-01	2.0	2.9000000000000057	32.0	243.0	943.0	2223.4	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-09-01	3.0	2.0	27.0	236.5	811.0	1873.6000000000001	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-10-01	1.0	3.0	36.0	240.5	895.5	2495.900000000001	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-10-01	2.0	1.0	16.0	149.0	741.25	1721.9	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-10-01	3.0	2.0	19.75	140.5	718.25	1579.4	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-11-01	2.0	1.0	21.0	134.0	459.25	1185.0000000000002	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-11-01	3.0	0.0	14.0	93.0	342.0	927.3000000000001	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-CH	2010-12-01	3.0	1.0	18.0	128.5	459.0	1099.3000000000002	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-04-01	1.0	0.0	0.0	0.0	0.0	1.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-05-01	1.0	0.0	0.0	0.0	1.0	4.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-05-01	2.0	0.0	0.0	0.0	1.0	3.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-06-01	1.0	0.0	0.0	1.0	4.0	8.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-06-01	2.0	0.0	0.0	1.0	3.0	7.100000000000023	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-06-01	3.0	0.0	0.0	1.0	3.0	7.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-07-01	1.0	0.0	0.0	1.0	6.0	14.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-07-01	2.0	0.0	0.0	1.0	6.0	16.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-07-01	3.0	0.0	0.0	1.0	5.0	15.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-08-01	1.0	0.0	0.0	2.0	9.0	23.100000000000023	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-08-01	2.0	0.0	0.0	1.0	7.0	17.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-08-01	3.0	0.0	0.0	2.0	7.0	18.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-09-01	1.0	0.0	0.0	2.0	9.0	20.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-09-01	2.0	0.0	0.0	2.0	7.0	19.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-09-01	3.0	0.0	0.0	1.0	5.0	12.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-10-01	1.0	0.0	0.0	2.0	7.0	19.100000000000023	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-10-01	2.0	0.0	0.0	1.0	5.0	12.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-10-01	3.0	0.0	0.0	1.0	5.0	11.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-11-01	2.0	0.0	0.0	1.0	2.0	5.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-11-01	3.0	0.0	0.0	0.0	2.0	5.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-HO	2010-12-01	3.0	0.0	0.0	0.0	1.0	3.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-04-01	1.0	0.0	1.0	8.0	31.0	84.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-05-01	1.0	0.0	4.0	36.0	143.0	350.1	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-05-01	2.0	0.0	3.0	25.5	111.0	242.5000000000001	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-06-01	1.0	0.0	6.0	62.0	233.25	579.2	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-06-01	2.0	0.0	5.75	52.0	228.25	596.5000000000001	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-06-01	3.0	0.0	6.0	42.0	153.75	380.4000000000001	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-07-01	1.0	0.0	7.0	74.0	316.0	787.3000000000001	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-07-01	2.0	0.0	10.0	87.0	351.0	845.4000000000001	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-07-01	3.0	1.0	10.0	78.5	300.25	729.2	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-08-01	1.0	1.0	15.0	93.0	420.25	1081.1	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-08-01	2.0	0.0	9.0	77.0	284.25	701.9000000000002	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-08-01	3.0	1.0	9.0	71.0	322.0	777.5000000000001	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-09-01	1.0	1.0	11.0	91.0	366.0	921.0000000000002	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-09-01	2.0	0.0	9.0	69.0	288.25	683.8000000000002	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-09-01	3.0	0.0	7.0	49.5	207.0	533.2	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-10-01	1.0	1.0	12.0	80.5	321.0	783.7000000000006	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-10-01	2.0	0.0	8.0	62.0	263.75	642.1	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-10-01	3.0	0.0	7.0	52.5	233.5	585.2	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-11-01	2.0	0.0	5.0	36.0	135.25	303.1	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-11-01	3.0	0.0	3.0	28.0	113.0	281.5000000000001	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-KH	2010-12-01	3.0	0.0	3.0	21.0	75.25	198.10000000000002	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-04-01	1.0	0.0	0.0	0.0	1.0	2.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-05-01	1.0	0.0	0.0	1.0	3.0	8.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-05-01	2.0	0.0	0.0	0.0	2.0	5.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-06-01	1.0	0.0	0.0	1.0	6.0	17.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-06-01	2.0	0.0	0.0	1.0	6.0	16.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-06-01	3.0	0.0	0.0	1.0	4.0	11.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-07-01	1.0	0.0	0.0	2.0	10.0	27.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-07-01	2.0	0.0	0.0	2.0	11.0	25.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-07-01	3.0	0.0	0.0	2.0	8.0	20.100000000000023	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-08-01	1.0	0.0	0.0	3.0	11.0	25.100000000000023	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-08-01	2.0	0.0	0.0	2.0	7.0	19.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-08-01	3.0	0.0	0.0	1.0	7.0	15.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-09-01	1.0	0.0	0.0	2.0	10.0	21.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-09-01	2.0	0.0	0.0	2.0	7.0	17.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-09-01	3.0	0.0	0.0	2.0	6.0	15.100000000000023	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-10-01	1.0	0.0	0.0	2.0	9.0	20.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-10-01	2.0	0.0	0.0	1.0	6.0	14.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-10-01	3.0	0.0	0.0	1.0	4.0	11.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-11-01	2.0	0.0	0.0	0.0	3.0	8.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-11-01	3.0	0.0	0.0	0.0	2.0	6.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LM	2010-12-01	3.0	0.0	0.0	0.0	2.0	5.0	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-04-01	1.0	0.0	1.0	13.0	56.0	137.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-05-01	1.0	0.0	6.0	52.0	213.25	615.2	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-05-01	2.0	0.0	5.0	35.5	180.5	402.4000000000001	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-06-01	1.0	1.0	16.75	104.5	393.75	960.5000000000003	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-06-01	2.0	0.9000000000000057	13.0	99.5	410.0	953.2	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-06-01	3.0	0.0	9.0	67.0	273.25	711.7000000000002	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-07-01	1.0	1.0	19.75	130.0	599.0	1306.5	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-07-01	2.0	1.0	20.75	154.0	567.0	1343.3000000000002	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-07-01	3.0	1.0	21.0	132.0	577.25	1375.9000000000005	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-08-01	1.0	1.0	19.0	135.0	691.25	1696.8000000000002	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-08-01	2.0	1.0	14.0	120.0	494.5	1268.8000000000002	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-08-01	3.0	1.0	19.75	135.0	512.5	1165.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-09-01	1.0	1.0	16.0	139.0	573.75	1199.8000000000004	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-09-01	2.0	1.0	14.75	132.0	521.5	1313.0000000000005	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-09-01	3.0	1.0	11.0	90.5	403.0	873.3000000000001	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-10-01	1.0	1.0	23.75	136.5	486.0	1137.0000000000005	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-10-01	2.0	0.0	11.75	101.0	395.5	946.1	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-10-01	3.0	0.0	9.0	77.5	309.25	742.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-11-01	2.0	0.0	7.0	48.0	183.25	408.70000000000016	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-11-01	3.0	0.0	5.0	38.0	151.25	377.60000000000014	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-LP	2010-12-01	3.0	0.0	3.0	29.0	119.0	282.1	2010-09-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-04-01	1.0	0.0	0.0	0.0	1.0	2.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-05-01	1.0	0.0	0.0	1.0	3.0	8.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-05-01	2.0	0.0	0.0	0.0	2.0	5.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-06-01	1.0	0.0	0.0	1.0	6.0	14.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-06-01	2.0	0.0	0.0	1.0	5.0	12.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-06-01	3.0	0.0	0.0	1.0	4.0	9.0	2010-03-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-07-01	1.0	0.0	0.0	2.0	8.0	18.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-07-01	2.0	0.0	0.0	2.0	8.0	19.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-07-01	3.0	0.0	0.0	2.0	7.0	16.0	2010-04-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-08-01	1.0	0.0	0.0	2.0	9.0	22.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-08-01	2.0	0.0	0.0	2.0	7.0	14.0	2010-06-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-08-01	3.0	0.0	0.0	1.0	6.0	16.0	2010-05-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-09-01	1.0	0.0	0.0	2.0	11.0	23.0	2010-08-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-09-01	2.0	0.0	0.0	2.0	7.0	18.0	2010-07-01	forecast	
data-0837007e360667f77ea4ff4ae89c0a8d	LA-OU	2010-09-01	3.0	0.0	0.0	1.0	5.0	11.100000000000023	2010-06-01	forecast	
