variant	it2_path	it3_path	it2_applied	it2_evidence	it3_applied	it3_evidence	it3_stored_family	it2_mae	it3_mae	it2_mae_pct_vs_control	it3_mae_pct_vs_control	it2_rmse	it3_rmse	it2_rmse_pct_vs_control	it3_rmse_pct_vs_control	it2_crps	it3_crps	it2_crps_pct_vs_control	it3_crps_pct_vs_control	it2_coverage_10_90	it3_coverage_10_90	it2_coverage_10_90_pct_vs_control	it3_coverage_10_90_pct_vs_control
v0_published_defaults	through config_proxy.py	direct, nothing interposed	yes	stored config read back from the service	yes	fitted formula	nbinomial	126.4182	127.8899	+0.0	+0.0	238.4259	244.4320	+0.0	+0.0	149.1586	150.0491	+0.0	+0.0	0.8214	0.8214	+0.0	+0.0
v1_no_spatial	through config_proxy.py	direct, nothing interposed	yes	stored config read back from the service	yes	fitted formula	nbinomial	166.5149	166.0387	+31.7	+29.8	350.2516	349.4641	+46.9	+43.0	111.2422	111.1887	-25.4	-25.9	0.8185	0.8185	-0.4	-0.4
v2_seasonal_rw2	through config_proxy.py	direct, nothing interposed	yes	stored config read back from the service	yes	fitted formula	nbinomial	124.0327	119.5030	-1.9	-6.6	234.0364	225.4831	-1.8	-7.8	144.6839	145.7181	-3.0	-2.9	0.8214	0.8244	+0.0	+0.4
v3_interannual_rw1	through config_proxy.py	direct, nothing interposed	yes	stored config read back from the service	yes	fitted formula	nbinomial	134.4747	133.6711	+6.4	+4.5	267.7896	271.7168	+12.3	+11.2	163.0818	165.8317	+9.3	+10.5	0.8304	0.8274	+1.1	+0.7
v4_poisson	through config_proxy.py	direct, nothing interposed	yes	stored config read back from the service	yes	fitted formula	poisson	105.4717	105.5060	-16.6	-17.5	202.7583	202.7673	-15.0	-17.0	100.6146	100.6421	-32.5	-32.9	0.2381	0.2381	-71.0	-71.0
